School Year,RCDT Code,District Name,Enrollment Range,Enrollment Count,Salary Program,Month Salary Schedule Adopted,Signed Written Agreement,Local Affiliation,Meeting(s) Between School Board and Superintendent Based on Discussions With Teachers,Salary Program (Merit or Performance),Severance Pay,Early Retirement Program,Sick Leave Bank,Direct Reimbursement for Expenses,Leave with Pay,Sick Leave > 80 Days,Bachelor's Beginning Salary,Bachelor's Maximum Salary,Bachelor's Years to Max,Master's Beginning Salary,Master's Maximum Salary,Master's Years to Max,Master's 30-32+ Beginning Salary,Master's 30-32+ Maximum Salary,Master's 30-32+ Years to Max,Highest Scheduled Salary,Years to Highest Scheduled Salary,Education Level Required to Reach Highest Salary,Additional Hours Required to Reach Highest Salary,All Full-time Employees Eligible to Receive the Same Fringe Benefit Coverage,Teacher Retirement System Monies Included in Salary Schedule,Percentage of Board Paid TRS (Part D),Annual Dental Premium for Employee,Percentage of Employee Dental Paid by Employer,Annual Dental Premium for Family,Percentage of Family Dental Paid by Employer,Annual Disability Insurance Premium for Employee,Percentage of Employee Disability Insurance Paid by Employer,Annual Disability Insurance Premium for Family,Percentage of Family Disability Insurance Paid by Employer,Annual Hospitalization Insurance Premium for Employee,Percentage of Employee Hospitalization Insurance Paid by Employer,Annual Hospitalization Insurance Premium for Family,Percentage of Family Hospitalization Insurance Paid by Employer,Annual Life Insurance Premium for Employee,Percentage of Employee Life Insurance Paid by Employer,Annual Life Insurance Premium for Family,Percentage of Family Life Insurance Paid by Employer,Annual Prescription Insurance Premium for Employee,Percentage of Employee Prescription Insurance Paid by Employer,Annual Prescription Insurance Premium for Family,Percentage of Family Prescription Insurance Paid by Employer,Annual Vision Insurance Premium for Employee,Percentage of Employee Vision Insurance Paid by Employer,Annual Vision Insurance Premium for Family,Percentage of Family Vision Insurance Paid by Employer,Cafeteria Plan 1,Cafeteria Plan 2,Cafeteria Plan 3,Cafeteria Plan 4,CAFTERIA PLAN (1-4) MEMBER COST,CAFTERIA PLAN (1-4) MEMBER PERCENT PAID BY EMPLOYER,CAFTERIA PLAN (1-4) FAMILY COST,CAFTERIA PLAN (1-4) FAMILY PERCENT PAID BY EMPLOYER,OTHER BENEFIT TYPE 1,OTHER BENEFIT TYPE 2,OTHER BENEFIT TYPE 3,OTHER BENEFIT TYPE 4,OTHER BENEFITS (1-4) MEMBER COST,OTHER BENEFITS (1-4) MEMBER PERCENT PAID BY EMPLOYER,OTHER BENEFITS (1-4) FAMILY COST,OTHER BENEFITS (1-4) FAMILY PERCENT PAID BY EMPLOYER,EXPIRATION DATE OF CONTRACT,MASTERS 10TH YEAR SALARY,DOES CONTRACT CONTAIN FAIR SHARE PROVISION?,LONGEVITY PAY PROVIDED BY CONTRACT?,LONGEVITY BACHELORS MAXIMUM,YEARS TO LONGEVITY BACHELORS MAXIMUM,LONGEVITY MASTERS MAXIMUM,YEARS TO LONGEVITY MASTERS MAXIMUM,LONGEVITY MASTERS 30-32+ MAXIMUM ,YEARS TO LONGEVITY MASTERS 30-32+ MAXIMUM ,LONGEVITY HIGHEST SCHEDULED SALARY MAXIMUM,LONGEVITY HIGHEST YEAR SCHEDULED SALARY MAXIMUM,"DAYS PERSONAL, BUSINESS OR EMERGENCY LEAVE W/PAY",DAYS SICK LEAVE ACCUnlimitedMUnlimitedLATION BEYOND 180 DAYS
2019,1069006026,Waverly CUSD 6,Under 500,500,Salary Schedule,July,Yes,IEA-NEA,,,,,Yes,Yes,Yes,,"$40,498.00","$61,570.00",15,"$42,597.00","$63,667.00",15,NULL,NULL,NULL,"$63,667.00",34,Master's,30,Yes,Yes,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$7,696.00",78,"$21,924.00",35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-19,"$51,025.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL
2019,1069011026,Meredosia-Chambersburg CUSD 11,Under 500,235,Salary Schedule,July,Yes,IEA-NEA,,,Yes,Yes,Yes,Yes,Yes,Yes,"$32,583.00","$51,461.00",33,"$36,961.00","$55,261.00",33,"$38,961.00","$57,661.00",33,"$57,661.00",33,Master's,32,Yes,Yes,10.4,$453.00,0,"$1,126.00",0,$0.00,0,$0.00,0,"$7,457.00",90,$0.00,0,$23.00,100,$0.00,0,$0.00,0,$0.00,0,$110.00,0,$199.00,0,Health,,,,"$7,457.00",100,$0.00,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-20,"$41,461.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,U
2019,1069027026,Triopia CUSD 27,Under 500,386,Policy No Schedule,September or later,Yes,IFT-AFT,,,,,,Yes,Yes,Yes,"$35,635.00","$44,331.00",22,"$38,382.00","$47,282.00",12,$0.00,$0.00,0,"$69,908.00",45,Master's,16,Yes,No,9,$457.00,0,$862.00,0,$0.00,0,$0.00,0,"$8,424.00",86,"$18,792.00",0,$118.00,100,$0.00,0,$0.00,86,$0.00,0,$93.00,0,$241.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sep-19,"$46,000.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,370
2019,1069117022,Jacksonville SD 117,"3,000-5,999",4057,Salary Schedule,August,Yes,IEA-NEA,,,,,Yes,,Yes,Yes,"$36,483.00","$51,943.00",18,"$41,789.00","$62,022.00",20,"$46,066.00","$69,807.00",21,"$71,901.00",21,Master's,48,Yes,No,0,$510.00,0,"$1,653.00",0,$0.00,0,$0.00,0,"$11,099.00",100,"$18,949.00",0,$29.00,100,$0.00,0,$0.00,100,$0.00,0,$89.00,100,$148.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-20,"$50,384.00",2,1,"$55,943.00",20,"$66,440.00",22,74779,22,"$77,022.00",23,3,U
2019,1069801060,Four Rivers Spec Educ Dist,Under 500,NULL,Salary Schedule,June,Yes,IFT-AFT,,,,,Yes,Yes,Yes,Yes,"$33,370.00","$51,930.00",18,"$37,582.00","$60,264.00",22,"$39,684.00","$63,399.00",23,"$66,534.00",24,Master's,48,Yes,No,0,$457.00,0,$807.00,0,$0.00,0,$0.00,0,"$8,580.00",100,"$10,476.00",0,$12.00,100,$0.00,0,$0.00,100,$0.00,0,$93.00,100,$148.00,0,,,,,$0.00,0,$0.00,0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Jul-19,"$47,885.00",1,1,"$54,583.00",29,"$62,917.00",29,66052,29,"$69,187.00",29,4,U
2019,1075003026,Pleasant Hill CUSD 3,Under 500,346,Salary Schedule,July,Yes,IFT-AFT,,,,,,Yes,Yes,Yes,"$37,581.00","$60,726.00",30,"$38,764.00","$70,514.00",34,"$41,638.00","$71,445.00",34,"$74,560.00",34,Master's,48,Yes,No,9.9,$372.00,0,$576.00,0,$0.00,0,$0.00,0,"$6,756.00",86,"$10,704.00",0,$11.00,100,$0.00,0,$0.00,86,$0.00,0,$144.00,0,$276.00,0,Prescription,,Annuity,Cash,"$7,283.00",87,"$11,556.00",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-19,"$45,355.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,U
2019,1075004026,Griggsville-Perry CUSD 4,Under 500,430,Salary Schedule,July,Yes,IFT-AFT,,,,Yes,Yes,Yes,Yes,Yes,"$33,906.00","$46,630.00",28,"$35,999.00","$50,088.00",31,"$37,675.00","$51,764.00",31,"$52,183.00",31,Certificate of Advanced Study (or 6 Year Specialist Certificate),0,Yes,No,8.5,$272.00,100,$738.00,0,NULL,NULL,NULL,NULL,"$7,430.00",100,"$18,250.00",0,$17.00,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-21,"$40,512.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,360
2019,1075010026,Pikeland CUSD 10,"1,000-2,999",1379,Policy No Schedule,January or before,Yes,IFT-AFT,,,,,Yes,Yes,Yes,Yes,"$31,400.00","$45,298.00",25,"$33,700.00","$47,598.00",25,"$36,000.00","$49,898.00",25,"$49,898.00",25,Doctor's,0,Yes,No,9,NULL,99,$576.00,0,NULL,NULL,NULL,0,"$7,128.00",99,"$10,704.00",0,$11.00,100,$10.00,0,NULL,99,NULL,0,$144.00,0,$420.00,0,,,,,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-20,"$38,556.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,340
2019,1075012026,Western CUSD 12,500-999,651,Policy No Schedule,July,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$33,070.00","$43,318.00",15,"$36,202.00","$52,494.00",22,"$38,180.00","$54,472.00",22,"$54,472.00",22,Master's,24,Yes,No,0,$284.00,0,$406.00,0,NULL,NULL,NULL,NULL,"$9,312.00",81,"$18,673.00",0,$43.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$86.00,0,$140.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-21,"$42,714.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,U
2019,1086001026,Winchester CUSD 1,500-999,672,Salary Schedule,January or before,Yes,IFT-AFT,,,,Yes,Yes,Yes,Yes,Yes,"$33,048.00","$54,219.00",25,"$35,773.00","$58,688.00",25,NULL,NULL,NULL,"$58,688.00",25,Master's,8,Yes,Yes,9.9,$477.00,0,"$1,097.00",0,$832.00,0,$0.00,0,"$8,645.00",75,"$22,353.00",0,$47.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$92.00,0,$146.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-20,"$43,605.00",1,1,"$56,675.00",33,"$61,347.00",33,NULL,NULL,"$62,573.00",33,4,340
2019,1086002026,Scott-Morgan CUSD 2,Under 500,240,Salary Schedule,June,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$31,535.00","$48,779.00",25,"$33,471.00","$51,772.00",25,$0.00,$0.00,0,"$51,772.00",25,Master's,0,Yes,No,9.9,$343.00,0,$725.00,0,$832.00,0,$0.00,0,"$8,164.00",50,"$15,103.00",0,$29.00,100,$0.00,0,$0.00,0,$0.00,0,$7.00,0,$14.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-21,"$38,417.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,340
2019,3003001026,Mulberry Grove CUSD 1,Under 500,473,Salary Schedule,April,Yes,IEA-NEA,,,,Yes,Yes,Yes,Yes,Yes,"$35,042.00","$50,285.00",15,"$39,799.00","$53,961.00",15,"$44,555.00","$58,717.00",15,"$58,717.00",15,Master's,32,Yes,No,7.5,$696.00,0,NULL,NULL,NULL,0,NULL,NULL,"$12,204.00",48,NULL,NULL,$24.00,100,NULL,NULL,NULL,0,NULL,NULL,$228.00,0,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-22,"$48,555.00",1,1,"$51,258.00",27,"$56,052.00",27,60771,27,"$60,771.00",27,9,U
2019,3003002026,Bond County CUSD 2,"1,000-2,999",2185,Salary Schedule,January or before,Yes,IEA-NEA,,,,Yes,,,Yes,Yes,"$37,765.00","$52,871.00",10,"$43,807.00","$67,977.00",16,"$49,850.00","$77,041.00",18,"$78,551.00",18,Doctor's,0,Yes,Yes,9.9,$248.00,0,$620.00,0,$0.00,0,$0.00,0,"$5,797.00",100,"$7,400.00",0,$30.00,100,$0.00,0,$0.00,100,$0.00,0,$80.00,0,$125.00,0,,,,,$0.00,0,$0.00,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,"$57,403.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,U
2019,3011001026,Morrisonville CUSD 1,Under 500,372,Salary Schedule,June,Yes,IEA-NEA,,,,,Yes,Yes,,Yes,"$39,618.00","$60,411.00",33,"$42,514.00","$63,309.00",33,"$44,831.00","$65,624.00",33,"$66,205.00",33,Master's,40,Yes,Yes,0,$596.00,0,"$1,845.00",0,NULL,NULL,NULL,NULL,"$7,152.00",100,"$18,852.00",38,$35.00,100,$0.00,NULL,NULL,NULL,NULL,NULL,$71.00,0,$117.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-20,"$47,669.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,U
2019,3011003026,Taylorville CUSD 3,"1,000-2,999",2890,Salary Schedule,July,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$42,155.00","$69,198.00",31,"$43,857.00","$74,186.00",31,"$45,616.00","$75,942.00",31,"$75,942.00",31,Master's,32,Yes,Yes,9.9,$273.00,100,$713.00,100,$0.00,0,$0.00,0,"$7,677.00",92,"$16,824.00",0,$18.00,100,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,,,,,$0.00,0,$0.00,0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Jun-19,"$52,658.00",1,1,"$69,698.00",32,"$74,686.00",32,76442,32,"$76,442.00",32,2,340
2019,3011004026,Edinburg CUSD 4,Under 500,323,Salary Schedule,August,Yes,IEA-NEA,,,,,Yes,Yes,Yes,,"$32,146.00","$53,794.00",26,"$34,456.00","$62,413.00",30,"$36,297.00","$69,772.00",33,"$69,772.00",33,Master's,24,Yes,Yes,9.9,$337.00,0,$931.00,0,NULL,NULL,NULL,NULL,"$7,529.00",100,"$13,929.00",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,$93.00,0,$159.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-20,"$42,002.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL
2019,3011008026,Pana CUSD 8,"1,000-2,999",1441,Salary Schedule,September or later,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$40,304.00","$69,040.00",31,"$43,367.00","$72,103.00",31,"$46,430.00","$75,166.00",31,"$75,166.00",31,Master's,40,Yes,Yes,9,$0.00,0,$0.00,0,$0.00,0,$0.00,0,"$8,480.00",92,$0.00,0,$12.00,100,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,,Annuity,Education,Life Insurance,"$8,480.00",92,$0.00,0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Sep-21,"$52,637.00",1,1,"$69,241.00",32,"$72,304.00",32,76367,32,"$76,367.00",32,2,U
2019,3011014024,South Fork SD 14,Under 500,371,Salary Schedule,August,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$34,168.00","$58,336.00",36,"$36,131.00","$63,103.00",36,"$37,940.00","$64,914.00",36,"$64,914.00",36,Master's,30,Yes,Yes,9.9,$448.00,0,"$1,307.00",0,$0.00,0,$0.00,0,"$6,192.00",93,"$13,608.00",0,$37.00,100,$0.00,0,$0.00,93,$0.00,0,$118.00,0,$224.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-19,"$42,853.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,360
2019,3011801060,Mid-State Spec Educ Jnt Agr,"1,000-2,999",NULL,Salary Schedule,August,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$38,557.00","$62,256.00",17,"$41,413.00","$67,900.00",19,"$43,127.00","$69,614.00",19,"$69,614.00",19,Master's,32,No,Yes,9,$457.00,0,"$1,264.00",0,$0.00,0,$0.00,0,"$10,032.00",75,"$22,176.00",0,$12.00,100,$0.00,0,$0.00,75,$0.00,0,$93.00,0,$241.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,"$53,960.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,370
2019,3025010026,Altamont CUSD 10,500-999,830,Salary Schedule,April,Yes,IEA-NEA,,,,,,,Yes,Yes,"$34,922.00","$55,547.00",26,"$36,443.00","$59,843.00",27,"$37,803.00","$62,503.00",27,"$62,503.00",27,Master's,32,Yes,No,0,$456.00,0,"$1,264.00",0,$0.00,0,$0.00,0,"$8,184.00",66,"$9,924.00",10,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$93.00,0,$241.00,0,,,,,$0.00,0,$0.00,0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Aug-20,"$44,543.00",1,1,"$59,107.00",34,"$63,413.00",34,65653,34,"$66,718.00",34,5,350
